category,titles,date,descriptions,urls
national,Blaze engulfs transformer repair centre in Karnataka's Bidar,"Sunday, 26 May, 2024","A fire erupted on Sunday morning at the transformer repair centre located within the premises of the Jyoti Colony GESCOM office in Bidar. The blaze caused extensive damage, burning transformers, electrical wires, and a large quantity of diesel. Luckily, all six staff members present at the time managed to escape unharmed.",https://newskarnataka.com/karnataka/bidar/bidar-blaze-engulfs-transformer-repair-centre/26052024/?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle
national,Severe heatwave in Rajasthan will persist for next 2-3 days: IMD,"Sunday, 26 May, 2024","The severe heatwave in Rajasthan will last for the next 2-3 days, with Phalodi reaching 50°C, the highest this summer, says the India Meteorological Department (IMD). Temperatures might drop by 2-3 degrees from May 28-29. Most parts of Rajasthan are very hot, with humidity levels between 15-30%.",https://www.thehawk.in/posts/severe-heat-wave-in-rajasthan-to-continue-for-next-2-3-days:-met-department?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle
national,People ran inside burning hospital to save babies in Delhi,"Sunday, 26 May, 2024","People who saw a huge fire engulf Baby Care New Born Hospital in Delhi scaled its compound wall and climbed from the rear side of the building to rescue newborn babies, eyewitnesses said. They added that local residents and members of a non-profit, Shaheed Seva Dal, were the first to rush to help. Seven newborns died in the incident.",https://www.ndtv.com/delhi-news/in-daring-act-how-locals-ran-inside-burning-delhi-hospital-to-save-babies-5748751/amp/1?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
national,People write essay on 'If my father was a builder' at Pune Porsche crash site,"Sunday, 26 May, 2024","The Congress' Youth Wing organised an essay writing competition at the crash site where a Porsche driven by a 17-year-old in a drunk state killed two techies. Notably, the court had asked the accused to write an essay while granting him bail. The competition's topics included  ""My favourite car"", ""If my father was a builder"", and ""Ill effects of alcohol"".",https://www.freepressjournal.in/pune/if-my-father-was-a-builder-congress-youth-wing-organises-essay-competition-at-pune-porsche-crash-site?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
national,All Vadodara game zones temporarily shut after Rajkot fire mishap,"Sunday, 26 May, 2024","All gaming zones in Gujarat's Vadodara have been temporarily closed after over 30 people died in a massive fire at a gaming zone in Rajkot. ""Experts from different departments like the mechanical [and] electrical department…came to investigate…[gaming zones in Vadodara],"" Chief Fire Officer Parth Brahmbhatt said. ""Those gaming zones that seemed unsafe were asked to take requisite steps,"" he added.",https://www.republicworld.com/india/vadodara-gaming-zones-temporarily-shut-after-rajkot-fire-tragedy-kills-35/?amp=1&utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
national,Gold rates in Hyderabad slide after hitting all-time high,"Sunday, 26 May, 2024","Gold rates in Hyderabad have dropped since reaching an all-time high on May 20. From the peak, 24-carat gold fell by ₹2,720 per 10 grams. Currently, 22-carat gold is priced at Rs 66,400, while 24-carat gold is at ₹72,440 for 10 grams. Rates have decreased by nearly 4% in six days, with a 3.61% decline since May 20.",https://www.siasat.com/gold-rates-in-hyderabad-slide-after-hitting-all-time-high-3032749/?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle
national,First time hearing about work from jail: Rajnath on Kejriwal,"Sunday, 26 May, 2024","Union Minister Rajnath Singh while commenting on Delhi CM Arvind Kejriwal said he had heard about work from home but it's the first time that he is hearing of work from jail. ""Kejriwal was jailed in the liquor scam. Even after that, he says he will continue to occupy the chief minister's post,"" Singh said. Kejriwal is out on bail.",https://www.hindustantimes.com/india-news/heard-of-work-from-home-first-time-hearing-about-work-from-jail-rajnath-in-dig-at-kejriwal-101716712932011-amp.html?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
national,Contaminated water makes over 15 villagers sick in Chamarajanagar,"Sunday, 26 May, 2024","More than 15 villagers in Maduvanahalli, Kollegal taluk, in the district, fell ill after they drank contaminated water. They are being treated at the Kollegal government hospital. The villagers complained of vomiting and diarrhoea. The cause is suspected to be contaminated drinking water. Deputy Commissioner Shilpa Nag visited the affected village today to assess the situation.",https://newskarnataka.com/karnataka/chamarajanagara/chamarajanagar-contaminated-water-makes-over-15-villagers-sick/26052024/?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle
national,"Swati Maliwal gets rape and death threats, blames on Dhruv Rathee","Sunday, 26 May, 2024",Swati Maliwal has recently spoken out about receiving serious threats after a video posted by popular YouTuber Dhruv Rathee. She claims that this one-sided video has led to a surge in rape and death threats against her. She alleges that leaders and volunteers from her own party are trying to tarnish her reputation.,https://www.topindiannews.com/national/swati-maliwal-alleges-rape-death-threats-blames-this-youtuber-s-controversial-video-news-18081?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle
national,16 counting centres set up in Hyderabad for Lok Sabha polls,"Sunday, 26 May, 2024","For the Lok Sabha poll results, 16 counting centers have been established in Hyderabad. At the centers, 14 tables will be arranged in each hall for the counting. District Electoral Officer for Hyderabad, Ronald Rose, has announced that the counting of votes will begin at 8 a.m. on June 4.",https://www.siasat.com/lok-sabha-poll-results-16-counting-centres-set-up-in-hyderabad-3032839/?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle
