category,titles,date,descriptions,urls
business,Essel Industries sold 1.35 lakh shares in Ganesha Ecosphere,"Tuesday, 28 May, 2024","Ganesha Ecosphere Ltd shares rose 3.2% to ₹1,198.55 apiece after Essel Industries Pvt Ltd sold 1,35,398 shares at ₹1,150.14 each, as per NSE bulk deal data on May 27, 2024. The company specializes in recycling PET plastic bottle waste into polyester spun yarn, rPET fiber, and rPET yarn.",https://tradebrains.in/features/stock-in-waste-recycling-sector-jumps-3-after-essel-ind-sold-1-35-lakh-shares-in-the-company/?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle
business,What are the gold prices in major cities today?,"Tuesday, 28 May, 2024","The price of 10 grams of 24-carat gold remained steady at approximately ₹72,000 on Tuesday while the 22-carat gold price was stable at around ₹66,660. The 24-carat gold price was ₹72,870 in Delhi, Gurugram, Lucknow and Jaipur, while the rate was ₹72,770 in Ahmedabad and Patna. The gold rate was ₹72,720 in Mumbai, Kolkata, Bengaluru, Bhubaneswar and Hyderabad.",https://www.news18.com/amp/business/gold-rate-rises-in-india-check-22-carat-price-in-your-city-on-may-28-8906569.html?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
business,M.M. Forgings Ltd likely to announce bonus shares and dividend,"Tuesday, 28 May, 2024","One of the top gainers on BSE, shares of M.M. Forgings gained over 15% and made a fresh new 52-week high. It is holding a board meeting on Wednesday, May 29. The Board of Directors will consider issuing bonus shares to shareholders and propose an increase in the company's authorised share capital, subject to shareholder approval & dividend for FY24.",https://www.dsij.in/dsijarticledetail/articleid/38442/artmid/10163/preview/true?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle
business,Mafatlal Industries net profit increased by 175% YoY,"Tuesday, 28 May, 2024","Mafatlal Industries Ltd's shares rose 7% after reporting significant financial growth. In Q4FY24, revenue increased 126% YoY and 81% QoQ to ₹764 crore, while net profit surged 175% YoY and 94% QoQ to ₹33 crore, reflecting strong performance improvements. Mafatlal Industries Limited manufactures textiles and trades them, as well as technology and other related products.",https://tradebrains.in/features/textile-stock-jumps-7-after-companys-net-profit-increased-by-175-yoy/?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle
business,Inox Wind shares locked in 10% lower circuit after large trades,"Tuesday, 28 May, 2024","Shares of Inox Wind Ltd were locked in a lower circuit on Tuesday after two large trades. At least 6.03 crore shares, or 6% stake, changed hands in two trades at an average price of ₹150 apiece, according to Bloomberg. The buyers and sellers have not been confirmed immediately.",https://www.ndtvprofit.com/buzzing-stocks/inox-wind-shares-locked-in-lower-circuit-after-18-stake-change-hands?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle
business,Wipro tradings at ₹455.90; up by 0.74%,"Tuesday, 28 May, 2024","Wipro is currently trading at Rs. 455.90, up by 3.35 points or 0.74% from its previous closing of Rs. 452.55 on the BSE. The scrip opened at Rs. 453.05, reaching a high of Rs. 457.20 and a low of Rs. 453.05, with 62,966 shares traded. Promoters hold 72.89%, Institutions hold 15.24%, and Non-Institutions hold 9.48% in the company.",https://investmentguruindia.com/newsdetail/wipro-gains-on-collaborating-with-centre-for-brain-research705600?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle
business,Telecom networks' war for new subscribers extends to Africa,"Tuesday, 28 May, 2024","In an effort to improve its telecom capabilities, Ghana has inked agreements to develop 4G and 5G infrastructure with Tech Mahindra, Reliance Jio subsidiary Radisys, and other suppliers. The NextGen Infrastructure Company, supported by Ghana, is working with Tech Mahindra, Nokia, and Jio subsidiary Radisys to develop the infrastructure required to provide reasonably priced 5G mobile services.",https://www.freepressjournal.in/business/airtel-vs-jio-the-war-for-new-subscribers-extends-to-africa?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle
business,VA Tech Wabag moves up on securing order worth ₹85 crore,"Tuesday, 28 May, 2024",VA Tech Wabag has secured an order worth around ₹85 crore from Nama Water Services in the Sultanate of Oman towards Operation & Maintenance (O&M) of the Al Duqm Desalination Plant for a period of 5 years. Wabag constructed this 8 MLD Desalination Plant over 10 years back and was responsible for the O&M of the Plant until 2018.,https://investmentguruindia.com/newsdetail/va-tech-wabag-moves-up-on-securing-order-worth-rs-85-crore956454?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle
business,"Won't export wheat to import bread, wish to make both in India: PM","Tuesday, 28 May, 2024","Prime Minister Narendra Modi said the main aim behind his mission of 'Atmanirbhar Bharat' is to create opportunities for the country's talent and to ensure India's wealth doesn't go out. ""I can't make the mistake of exporting wheat and importing bread. I would want both of them to be created here,"" he said in an interview.",https://www.youtube.com/watch?utm_campaign=fullarticle&v=4QbhNDe1HjU&utm_medium=referral&utm_source=inshorts
business,Reduce 28% GST on ACs: Netizens amid ongoing heatwave,"Tuesday, 28 May, 2024","The mercury scaled the summit of high temperatures fervently, with many cities and towns witnessing temperatures as high as a burning 50 degrees celsius. In the recent past many have demanded a change in the GST regime on important items like ACs. Along with other consumer durable items like refrigerators, ACs are marked in the highest GST slab of 28%.",https://www.freepressjournal.in/business/reduce-28-gst-on-acs-netizens-demand-slash-in-taxes-amid-ongoing-heatwave?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle
